CP000031,GenBank,gene,1,1869,.,+,1,"Name=gidA ;gidA,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0001
CP000031,GenBank,gene,1866,2480,.,+,1,"Name=gidB ;gidB,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0002
CP000031,GenBank,gene,2473,3276,.,+,1,"Name=parA ;parA,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0003
CP000031,GenBank,gene,3299,4189,.,+,1,"Name=parB ;parB,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0004
CP000031,GenBank,gene,4179,4532,.,-,1,"Name=SPO0005 ;SPO0005,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0005
CP000031,GenBank,gene,4536,5693,.,-,1,"Name=SPO0006 ;SPO0006,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0006
CP000031,GenBank,gene,5683,6297,.,-,1,"Name=SPO0007 ;SPO0007,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0007
CP000031,GenBank,gene,6294,7007,.,-,1,"Name=rph ;rph,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0008
CP000031,GenBank,gene,7130,8194,.,+,1,"Name=hrcA ;hrcA,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0009
CP000031,GenBank,gene,8205,8768,.,+,1,"Name=grpE ;grpE,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0010
CP000031,GenBank,gene,8822,11455,.,-,1,"Name=mutS ;mutS,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0011
CP000031,GenBank,gene,11598,13853,.,+,1,"Name=maeB ;maeB,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0012
CP000031,GenBank,gene,13857,14729,.,+,1,"Name=rbsK ;rbsK,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0013
CP000031,GenBank,gene,14726,15388,.,-,1,"Name=msrA-1 ;msrA-1,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0014
CP000031,GenBank,gene,15491,16264,.,+,1,"Name=SPO0015 ;SPO0015,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0015
CP000031,GenBank,gene,16332,16613,.,-,1,"Name=SPO0016 ;SPO0016,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0016
CP000031,GenBank,gene,16689,17132,.,-,1,"Name=SPO0017 ;SPO0017,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0017
CP000031,GenBank,gene,17129,18358,.,-,1,"Name=argG ;argG,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0018
CP000031,GenBank,gene,18450,19280,.,+,1,"Name=SPO0019 ;SPO0019,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0019
CP000031,GenBank,gene,19338,20564,.,+,1,"Name=ilvA ;ilvA,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0020
CP000031,GenBank,gene,20571,20924,.,-,1,"Name=SPO0021 ;SPO0021,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0021
CP000031,GenBank,gene,21005,22342,.,+,1,"Name=SPO0022 ;SPO0022,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0022
CP000031,GenBank,gene,22329,22781,.,-,1,"Name=SPO0023 ;SPO0023,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0023
CP000031,GenBank,gene,22858,23838,.,+,1,"Name=hslO ;hslO,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0024
CP000031,GenBank,gene,23831,24427,.,+,1,"Name=SPO0025 ;SPO0025,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0025
CP000031,GenBank,gene,24424,25578,.,+,1,"Name=SPO0026 ;SPO0026,*gbkey: Gene,*gene_biotype: protein_coding",locus_tag=SPO0026
